eventId	personId	total	personName	"GROUP_CONCAT(CONCAT(score,' (',competitionId,')') SEPARATOR ' + ')"
444	2009BONN01	5	"Pauline Bonnaudet"	"2 (NaonedOpen2011) + 1 (DolmenOpen2011) + 2 (BlindOpen2011)"
444	2009PONT02	5	"Geoffray Pontet"	"1 (NeptuneOpen2011) + 4 (LyonOpen2011)"
444	2010DELN01	5	"Grégoire Delnott"	"5 (FrenchOpen2011)"
444	2010ROIG02	5	"Yoann Roig"	"5 (NeptuneOpen2011)"
444	2011HENA01	5	"Ludovic Le Henaff"	"3 (BreizhOpen2011) + 2 (FrenchOpen2011)"
444	2011TRAN04	5	"Dinh-Anh Tran"	"5 (CachanOpen2011)"
444	2010BALA01	4	"Roxane Balan"	"4 (BlindOpen2011)"
444	2011DASS01	4	"Satyajit Das"	"4 (DolmenOpen2011)"
444	2011HINO01	4	"Rafa Serrano Hinojosa"	"4 (MontpellierOpen2011)"
444	2005STUD01	3	"Rafał Studnicki"	"3 (LyonOpen2011)"
444	2008CIRN01	3	"Fabrizio Cirnigliaro"	"3 (MontpellierOpen2011)"
444	2011PHIL01	3	"Alexandre Philiponet"	"3 (GaleriesLafayetteOpen2011)"
444	2011CUNJ01	2	"Jean-Christophe Le Cun"	"2 (BreizhOpen2011)"
444	2011DURA01	2	"Sylvain Durand"	"2 (MontpellierOpen2011)"
444	2011DUVO02	2	"Thibaut Duvoid"	"2 (VesoulOpen2011)"
444	2011LAFO01	2	"Thomas Laforge"	"2 (NeptuneOpen2011)"
444	2011LUCI01	2	"Philippe Lucien"	"2 (LyonOpen2011)"
444	2011RAMY01	2	"Xavier Rémy"	"1 (DinsOpen2011) + 1 (BreizhOpen2011)"
444	2011SERV03	2	"Gaël Servignat"	"2 (CachanOpen2011)"
444	2007POLS01	1	"Olivier Polspoel"	"1 (LyonOpen2011)"
444	2011DURA02	1	"Antoine Durand-Gasselin"	"1 (CachanOpen2011)"
444	2011HEZA01	1	"Bastien Hézard"	"1 (VesoulOpen2011)"
444	2011LEBA01	1	"Fabien Lebailly"	"1 (BlindOpen2011)"
444	2011SERV01	1	"Mathieu Servonnet"	"1 (MontpellierOpen2011)"
444bf	2008COUR01	6	"François Courtès"	"3 (MontpellierOpen2011) + 1 (BreizhOpen2011) + 1 (LyonOpen2011) + 1 (NeptuneOpen2011)"
444bf	2005KOCZ01	3	"István Kocza"	"3 (LyonOpen2011)"
444bf	2010BOUV01	3	"Pierre Bouvier"	"1 (NeptuneOpen2011) + 1 (MontpellierOpen2011) + 1 (LyonOpen2011)"
444bf	2010OLIV01	3	"Auguste Olivry"	"1 (MontpellierOpen2011) + 1 (LyonOpen2011) + 1 (FrenchOpen2011)"
444bf	2008BARA01	2	"Bence Barát"	"2 (LyonOpen2011)"
444bf	2008CIRN01	2	"Fabrizio Cirnigliaro"	"2 (MontpellierOpen2011)"
